Unnamed: 0,Street address,Zip/Postal Code,Latitude,Longitude,Region,Price,Bedrooms,Bathrooms,Square Footage,Hospital in area,Railway Station in area,School in area,Supermarket in area,Bus Stop in area,Pub in area,Restaurant in area,Cafe in area,Dentist in area,Fast Food in area,Kindergartens in area,Malls in area,Play Ground in area,Parks in area,Post Office in area,geometry,Neighbourhood,Total_crimes (2020-2024),Average_total_crime (per_year),Total_severe_crimes (2020-2024),Average_severe_crimes (per_year),Total_moderate_crimes (2020-2024),Average_moderate_crimes (per_year),Total_minor_crimes (2020-2024),Average_minor_crimes (per_year)
810,24 7565 Oak Street,,50.57918,-126.921088,,1559000.0,3 bd,3.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-126.921088 50.57918),,,,,,,,,
841,701 919 Station Street,,48.446587,-123.496882,,629000.0,1 bd,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-123.496882 48.446587),,,,,,,,,
936,21 7565 Oak Street,,50.579624,-126.920905,,1546000.0,3 bd,3.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-126.920905 50.579624),,,,,,,,,
943,210 5989 Iona Drive,,49.271516,-123.250855,,1550000.0,2 bd,2.0,,1,0,1,4,35,2,13,24,0,12,0,0,0,0,1,POINT (-123.250855 49.271516),,,,,,,,,
997,412 2388 Western Parkway,,49.266543,-123.243857,,1099000.0,2 bd,2.0,,1,0,1,5,45,1,15,24,0,13,0,0,0,0,1,POINT (-123.243857 49.266543),,,,,,,,,
1011,301 2288 Laurel Street,,49.398369,-123.559673,,849000.0,2 bd,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-123.559673 49.398369),,,,,,,,,
1039,805 5728 Berton Avenue,,49.254988,-123.235862,,1198000.0,2 bd,2.0,,0,0,2,1,31,0,11,11,0,5,0,0,0,0,0,POINT (-123.235862 49.254988),,,,,,,,,
1057,18 6788 Oak Street,,50.57918,-126.921088,,1979000.0,3 bd,3.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-126.921088 50.57918),,,,,,,,,
1066,420 3563 Ross Drive,,49.228977,-122.88673,,1120000.0,2 bd,2.0,,0,0,0,0,0,0,0,6,0,10,0,0,0,0,1,POINT (-122.88673 49.228977),,,,,,,,,
1093,2304 183 Keefer Place,,54.505508,-128.585845,,1295000.0,3 bd,2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-128.585845 54.505508),,,,,,,,,
1124,602 5629 Birney Avenue,,49.253734,-123.234634,,869000.0,1 bd,1.0,,0,0,1,1,26,0,8,6,0,1,0,0,0,0,0,POINT (-123.234634 49.253734),,,,,,,,,
1149,205 5683 Hampton Place,,49.184072,-122.945818,,699999.0,1 bd,1.0,,0,0,0,0,0,0,0,3,0,8,0,0,0,0,1,POINT (-122.945818 49.184072),,,,,,,,,
1151,310 5681 Birney Avenue,,49.253734,-123.234634,,898000.0,1 bd,1.0,,0,0,1,1,26,0,8,6,0,1,0,0,0,0,0,POINT (-123.234634 49.253734),,,,,,,,,
1175,2688 West Mall Road 1003,,49.260465,-123.252229,,1188000.0,2 bd,2.0,,1,0,1,4,35,2,14,27,0,12,0,0,0,0,1,POINT (-123.252229 49.260465),,,,,,,,,
