Neighborhood,"less than $20,000","Income $20,000 - $39,999","Income $40,000 - $59,999","Income $60,000 - $79,999","Income $80,000 - $99,999","Income $100,000 and Over",Total
Vancouver,"59,895","135,830","135,375","130,095","115,715","466,405","1,043,320"
Ambleside,335,900,685,585,360,"1,135","4,000"
Anmore/Belcarra/Metro Vancouver North,30,50,110,150,130,"1,070","1,545"
Capital Hill/Brentwood,"1,185","2,145","1,945","1,955","1,845","6,610","15,680"
Cedar Cottage,670,"1,800","1,735","1,735","1,415","6,200","13,565"
Central Lonsdale,480,"1,155","1,155",980,895,"1,910","6,570"
Central Park,750,"1,790","1,565","1,180","1,145","3,190","9,630"
Cloverdale/Fleetwood,"1,155","3,550","4,360","4,740","4,685","23,180","41,675"
Collingwood,675,"1,500","1,540","1,605","1,320","3,735","10,370"
Coquitlam East,"1,740","3,305","3,680","3,500","3,425","14,240","29,890"
Coquitlam West,"1,475","3,155","3,535","3,475","2,815","11,625","26,080"
Deer Lake,395,820,955,950,970,"4,690","8,780"
Downtown,590,"1,170","1,530","1,530","1,280","3,325","9,425"
Downtown Central,"1,655","2,980","2,490","2,215","1,745","4,340","15,425"
Downtown Eastside/Strathcona,"1,615","3,645","1,540",970,715,"2,345","10,830"
Downtown North,"2,015","2,205","2,215","2,225","2,130","7,930","18,715"
Dundrave/West Vancouver Remainder,850,"1,755","1,780","1,580","1,485","9,305","16,750"
Edmonds,795,"2,020","1,550","1,355","1,295","3,665","10,680"
English Bay,855,"1,785","1,700","1,425","1,175","2,510","9,445"
Fraser View/Killarny,"1,385","3,615","3,525","3,575","3,135","10,960","26,185"
Guildford,795,"2,415","2,735","2,625","2,530","9,205","20,305"
Hastings/Sunrise/Grandview/Woodlands,"1,685","5,115","4,305","3,630","3,145","10,825","28,705"
Kerrisdale,435,870,755,685,500,"1,770","5,020"
Kitsilano/Point Grey North,925,"1,565","1,620","1,720","1,395","5,120","12,340"
Kitsilano/Point Grey South,755,"1,640","1,620","1,510","1,220","5,800","12,545"
Ladner,305,"1,045","1,195","1,115","1,080","5,075","9,810"
Langley CY,555,"2,040","2,115","1,875","1,575","4,440","12,600"
Langley DM,"1,350","4,325","5,300","5,525","5,240","25,510","47,265"
Lonsdale East,285,865,920,830,910,"4,275","8,090"
Lonsdale North,285,590,630,550,420,"1,340","3,815"
Lonsdale West,465,"1,115","1,215","1,125",950,"4,120","8,990"
Maple Ridge,"1,055","3,655","3,660","3,750","3,735","17,325","33,180"
Marpole Remainder,610,985,805,805,605,"2,645","6,450"
Marpole South,340,865,"1,005",760,515,720,"4,205"
Metrotown,"1,570","2,250","2,220","1,910","1,480","4,230","13,660"
Mount Pleasant,885,"2,435","2,195","2,125","1,670","5,905","15,215"
New Westminster East,425,"1,200","1,255","1,330","1,070","4,720","9,995"
New Westminster West,175,455,625,665,605,"3,470","5,990"
Newton,"1,365","5,035","5,805","6,335","6,120","25,815","50,470"
North Delta,520,"1,610","1,895","2,145","2,215","10,640","19,020"
North False Creek,"1,845","2,595","1,910","1,640","1,590","6,620","16,205"
North Vancouver DM East,520,"1,685","2,140","2,010","2,085","12,225","20,665"
North Vancouver DM West,550,"1,220","1,240","1,250","1,260","7,695","13,210"
Pitt Meadows,215,755,875,890,810,"3,855","7,405"
Point Grey,390,780,555,520,440,"2,745","5,435"
Port Coquitlam,715,"2,275","2,720","2,835","2,685","11,645","22,885"
Port Moody,370,995,"1,335","1,385","1,535","7,485","13,110"
Renfrew,470,"1,250","1,230","1,080",935,"3,700","8,660"
Richmond City Centre,"2,550","4,980","3,915","3,330","2,565","5,545","22,890"
Richmond East,"1,720","3,360","3,160","2,875","2,505","9,355","22,975"
Richmond South,"1,075","2,250","2,325","2,260","1,960","8,125","17,990"
Richmond West,865,"2,185","2,130","2,150","1,855","7,735","16,925"
Riley Park,265,825,805,790,750,"3,905","7,340"
Sea Island,0,0,50,20,25,190,300
South Cambie,285,475,535,500,440,"2,190","4,430"
South False Creek,845,"1,360","1,340","1,405","1,245","6,210","12,405"
South Granville,765,"1,800","1,935","1,725","1,390","3,915","11,530"
South Surrey,"1,475","3,930","4,065","4,345","3,880","17,660","35,345"
Southeast Burnaby South,565,"1,175","1,210","1,265","1,030","3,725","8,970"
Sunset,"1,395","3,320","3,000","2,980","2,555","10,030","23,285"
Surrey City Centre,830,"1,645","1,585","1,725","1,300","2,575","9,670"
Tsawwassen,325,"1,140","1,160","1,155","1,060","5,310","10,160"
University Endowment Lands,"1,715","1,015","1,015",740,565,"2,555","7,600"
University/Lougheed,"1,490","2,485","2,500","2,470","2,245","8,585","19,775"
Uptown,700,"2,135","2,120","1,650","1,305","2,785","10,690"
West End/Stanley Park North,135,440,395,340,215,750,"2,275"
West End/Stanley Park South,235,690,695,505,400,870,"3,410"
Westside Heights,745,"1,835","1,890","1,830","1,440","6,220","13,960"
Westside/Kerrisdale Remainder,"1,640","2,540","2,355","2,120","1,845","11,395","21,890"
Whalley,"1,120","3,350","3,965","4,010","3,680","12,150","28,275"
White Rock,640,"1,880","1,750","1,565","1,160","3,745","10,735"
